"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"1400000US17031100700","Census Tract 1007, Cook County, Illinois","85953","8832",
"1400000US17031110100","Census Tract 1101, Cook County, Illinois","77813","10637",
"1400000US17031110200","Census Tract 1102, Cook County, Illinois","85474","20050",
"1400000US17031110300","Census Tract 1103, Cook County, Illinois","82634","10342",
"1400000US17031110400","Census Tract 1104, Cook County, Illinois","68996","4590",
"1400000US17031110501","Census Tract 1105.01, Cook County, Illinois","84273","7842",
"1400000US17031110502","Census Tract 1105.02, Cook County, Illinois","62155","15445",
"1400000US17031120100","Census Tract 1201, Cook County, Illinois","140417","15215",
"1400000US17031120200","Census Tract 1202, Cook County, Illinois","123594","18673",
"1400000US17031120300","Census Tract 1203, Cook County, Illinois","127473","13608",
"1400000US17031120400","Census Tract 1204, Cook County, Illinois","99306","26943",
"1400000US17031130100","Census Tract 1301, Cook County, Illinois","47875","6818",
"1400000US17031130200","Census Tract 1302, Cook County, Illinois","75875","11271",
"1400000US17031130300","Census Tract 1303, Cook County, Illinois","58824","11583",
"1400000US17031140100","Census Tract 1401, Cook County, Illinois","54394","7879",
"1400000US17031140200","Census Tract 1402, Cook County, Illinois","46761","5445",
"1400000US17031140301","Census Tract 1403.01, Cook County, Illinois","50667","12259",
"1400000US17031140302","Census Tract 1403.02, Cook County, Illinois","75789","17918",
"1400000US17031140400","Census Tract 1404, Cook County, Illinois","69203","8502",
"1400000US17031140500","Census Tract 1405, Cook County, Illinois","66818","12149",
"1400000US17031140601","Census Tract 1406.01, Cook County, Illinois","43988","13053",
"1400000US17031140602","Census Tract 1406.02, Cook County, Illinois","67237","18833",
"1400000US17031140701","Census Tract 1407.01, Cook County, Illinois","71125","9451",
"1400000US17031140702","Census Tract 1407.02, Cook County, Illinois","57708","5995",
"1400000US17031140800","Census Tract 1408, Cook County, Illinois","73875","21464",
"1400000US17031150200","Census Tract 1502, Cook County, Illinois","67623","12291",
"1400000US17031150300","Census Tract 1503, Cook County, Illinois","77877","8121",
"1400000US17031150401","Census Tract 1504.01, Cook County, Illinois","63125","8492",
"1400000US17031150402","Census Tract 1504.02, Cook County, Illinois","87708","12091",
"1400000US17031150501","Census Tract 1505.01, Cook County, Illinois","75956","24236",
"1400000US17031150502","Census Tract 1505.02, Cook County, Illinois","63813","7997",
"1400000US17031150600","Census Tract 1506, Cook County, Illinois","67957","21041",
"1400000US17031150700","Census Tract 1507, Cook County, Illinois","75545","10540",
"1400000US17031150800","Census Tract 1508, Cook County, Illinois","59919","17380",
"1400000US17031151001","Census Tract 1510.01, Cook County, Illinois","65417","5885",
"1400000US17031151002","Census Tract 1510.02, Cook County, Illinois","62483","4307",
"1400000US17031151100","Census Tract 1511, Cook County, Illinois","64063","4834",
"1400000US17031151200","Census Tract 1512, Cook County, Illinois","76885","13325",
"1400000US17031160100","Census Tract 1601, Cook County, Illinois","68750","9887",
"1400000US17031160200","Census Tract 1602, Cook County, Illinois","85216","12734",
"1400000US17031160300","Census Tract 1603, Cook County, Illinois","57568","5808",
"1400000US17031160400","Census Tract 1604, Cook County, Illinois","61815","7803",
"1400000US17031160501","Census Tract 1605.01, Cook County, Illinois","60349","6845",
"1400000US17031160502","Census Tract 1605.02, Cook County, Illinois","56875","8992",
"1400000US17031160601","Census Tract 1606.01, Cook County, Illinois","69375","9388",
"1400000US17031160602","Census Tract 1606.02, Cook County, Illinois","66776","10435",
"1400000US17031160700","Census Tract 1607, Cook County, Illinois","72317","16563",
"1400000US17031160800","Census Tract 1608, Cook County, Illinois","63007","8845",
"1400000US17031160900","Census Tract 1609, Cook County, Illinois","86060","16290",
"1400000US17031161000","Census Tract 1610, Cook County, Illinois","88750","9262",
"1400000US17031161100","Census Tract 1611, Cook County, Illinois","143438","25489",
"1400000US17031161200","Census Tract 1612, Cook County, Illinois","67903","8471",
"1400000US17031161300","Census Tract 1613, Cook County, Illinois","51578","4671",
"1400000US17031170100","Census Tract 1701, Cook County, Illinois","54625","13082",
"1400000US17031170200","Census Tract 1702, Cook County, Illinois","70625","8907",
"1400000US17031170300","Census Tract 1703, Cook County, Illinois","67298","28148",
"1400000US17031170400","Census Tract 1704, Cook County, Illinois","63542","14812",
"1400000US17031170500","Census Tract 1705, Cook County, Illinois","88684","8185",
"1400000US17031170600","Census Tract 1706, Cook County, Illinois","69271","12166",
"1400000US17031170700","Census Tract 1707, Cook County, Illinois","65233","11883",
"1400000US17031170800","Census Tract 1708, Cook County, Illinois","62955","14659",
"1400000US17031170900","Census Tract 1709, Cook County, Illinois","68958","16453",
"1400000US17031171000","Census Tract 1710, Cook County, Illinois","79750","9973",
"1400000US17031171100","Census Tract 1711, Cook County, Illinois","69330","12425",
"1400000US17031180100","Census Tract 1801, Cook County, Illinois","57813","13506",
"1400000US17031190100","Census Tract 1901, Cook County, Illinois","41103","12971",
"1400000US17031190200","Census Tract 1902, Cook County, Illinois","58851","12915",
"1400000US17031190300","Census Tract 1903, Cook County, Illinois","54239","14185",
"1400000US17031190401","Census Tract 1904.01, Cook County, Illinois","63750","8739",
"1400000US17031190402","Census Tract 1904.02, Cook County, Illinois","53021","6797",
"1400000US17031190601","Census Tract 1906.01, Cook County, Illinois","56771","32265",
"1400000US17031190602","Census Tract 1906.02, Cook County, Illinois","54688","11465",
"1400000US17031190701","Census Tract 1907.01, Cook County, Illinois","42270","11150",
"1400000US17031190702","Census Tract 1907.02, Cook County, Illinois","41083","7037",
"1400000US17031190800","Census Tract 1908, Cook County, Illinois","51953","13840",
"1400000US17031190900","Census Tract 1909, Cook County, Illinois","54750","14126",
"1400000US17031191000","Census Tract 1910, Cook County, Illinois","55081","12826",
"1400000US17031191100","Census Tract 1911, Cook County, Illinois","51421","7346",
"1400000US17031191200","Census Tract 1912, Cook County, Illinois","50556","10073",
"1400000US17031191301","Census Tract 1913.01, Cook County, Illinois","50046","19601",
"1400000US17031191302","Census Tract 1913.02, Cook County, Illinois","45962","11557",
"1400000US17031200100","Census Tract 2001, Cook County, Illinois","53718","13581",
"1400000US17031200200","Census Tract 2002, Cook County, Illinois","46625","12775",
"1400000US17031200300","Census Tract 2003, Cook County, Illinois","53798","15114",
"1400000US17031200401","Census Tract 2004.01, Cook County, Illinois","45074","8432",
"1400000US17031200402","Census Tract 2004.02, Cook County, Illinois","51719","10321",
"1400000US17031210100","Census Tract 2101, Cook County, Illinois","81875","12360",
"1400000US17031210400","Census Tract 2104, Cook County, Illinois","51083","10305",
"1400000US17031210501","Census Tract 2105.01, Cook County, Illinois","50519","8822",
"1400000US17031210502","Census Tract 2105.02, Cook County, Illinois","56025","9859",
"1400000US17031210601","Census Tract 2106.01, Cook County, Illinois","75461","6190",
"1400000US17031210602","Census Tract 2106.02, Cook County, Illinois","74167","8662",
"1400000US17031210700","Census Tract 2107, Cook County, Illinois","68220","14879",
"1400000US17031210800","Census Tract 2108, Cook County, Illinois","60948","7263",
"1400000US17031210900","Census Tract 2109, Cook County, Illinois","88167","17160",
"1400000US17031220300","Census Tract 2203, Cook County, Illinois","98973","12159",
"1400000US17031220400","Census Tract 2204, Cook County, Illinois","103295","15607",
"1400000US17031220500","Census Tract 2205, Cook County, Illinois","94844","16174",
"1400000US17031220601","Census Tract 2206.01, Cook County, Illinois","77619","15048",
"1400000US17031220602","Census Tract 2206.02, Cook County, Illinois","52163","10467",
"1400000US17031220701","Census Tract 2207.01, Cook County, Illinois","70568","10832",
"1400000US17031220702","Census Tract 2207.02, Cook County, Illinois","64392","7640",
"1400000US17031220901","Census Tract 2209.01, Cook County, Illinois","48438","11944",
"1400000US17031220902","Census Tract 2209.02, Cook County, Illinois","57150","7580",
"1400000US17031221000","Census Tract 2210, Cook County, Illinois","56984","9851",
"1400000US17031221100","Census Tract 2211, Cook County, Illinois","65938","9735",
"1400000US17031221200","Census Tract 2212, Cook County, Illinois","101130","13458",
"1400000US17031221300","Census Tract 2213, Cook County, Illinois","71402","11238",
"1400000US17031221400","Census Tract 2214, Cook County, Illinois","90592","15475",
"1400000US17031221500","Census Tract 2215, Cook County, Illinois","61635","13019",
"1400000US17031221600","Census Tract 2216, Cook County, Illinois","137159","23423",
"1400000US17031222200","Census Tract 2222, Cook County, Illinois","150625","12227",
"1400000US17031222500","Census Tract 2225, Cook County, Illinois","90750","16861",
"1400000US17031222600","Census Tract 2226, Cook County, Illinois","79231","21955",
"1400000US17031222700","Census Tract 2227, Cook County, Illinois","69063","10191",
"1400000US17031222800","Census Tract 2228, Cook County, Illinois","50313","29819",
"1400000US17031222900","Census Tract 2229, Cook County, Illinois","49900","12459",
"1400000US17031230100","Census Tract 2301, Cook County, Illinois","56563","9773",
"1400000US17031230200","Census Tract 2302, Cook County, Illinois","57250","8563",
"1400000US17031230300","Census Tract 2303, Cook County, Illinois","50242","10276",
"1400000US17031230400","Census Tract 2304, Cook County, Illinois","57656","20670",
"1400000US17031230500","Census Tract 2305, Cook County, Illinois","24385","10499",
"1400000US17031230600","Census Tract 2306, Cook County, Illinois","40675","7418",
"1400000US17031230700","Census Tract 2307, Cook County, Illinois","39969","7277",
"1400000US17031230800","Census Tract 2308, Cook County, Illinois","55625","22313",
"1400000US17031230900","Census Tract 2309, Cook County, Illinois","55104","5233",
"1400000US17031231100","Census Tract 2311, Cook County, Illinois","36250","11683",
"1400000US17031231200","Census Tract 2312, Cook County, Illinois","33423","7833",
"1400000US17031231500","Census Tract 2315, Cook County, Illinois","30927","11734",
"1400000US17031240200","Census Tract 2402, Cook County, Illinois","148009","19207",
"1400000US17031240300","Census Tract 2403, Cook County, Illinois","125882","19089",
"1400000US17031240500","Census Tract 2405, Cook County, Illinois","150188","18913",
"1400000US17031240600","Census Tract 2406, Cook County, Illinois","102083","19545",
"1400000US17031240700","Census Tract 2407, Cook County, Illinois","86667","19685",
"1400000US17031240800","Census Tract 2408, Cook County, Illinois","54632","12002",
"1400000US17031240900","Census Tract 2409, Cook County, Illinois","42717","15985",
"1400000US17031241000","Census Tract 2410, Cook County, Illinois","71979","7744",
"1400000US17031241100","Census Tract 2411, Cook County, Illinois","80524","18483",
"1400000US17031241200","Census Tract 2412, Cook County, Illinois","106875","14969",
"1400000US17031241300","Census Tract 2413, Cook County, Illinois","154792","21643",
"1400000US17031241400","Census Tract 2414, Cook County, Illinois","120833","25207",
"1400000US17031241500","Census Tract 2415, Cook County, Illinois","141983","29940",
"1400000US17031241600","Census Tract 2416, Cook County, Illinois","101615","12600",
"1400000US17031242000","Census Tract 2420, Cook County, Illinois","116066","13935",
"1400000US17031242100","Census Tract 2421, Cook County, Illinois","143547","15654",
"1400000US17031242200","Census Tract 2422, Cook County, Illinois","124107","25782",
"1400000US17031242300","Census Tract 2423, Cook County, Illinois","94639","12393",
"1400000US17031242400","Census Tract 2424, Cook County, Illinois","95357","9882",
"1400000US17031242500","Census Tract 2425, Cook County, Illinois","72400","12748",
"1400000US17031242600","Census Tract 2426, Cook County, Illinois","63009","9547",
"1400000US17031242700","Census Tract 2427, Cook County, Illinois","52415","7387",
"1400000US17031242800","Census Tract 2428, Cook County, Illinois","89688","31399",
"1400000US17031242900","Census Tract 2429, Cook County, Illinois","101216","15815",
"1400000US17031243000","Census Tract 2430, Cook County, Illinois","85362","7881",
"1400000US17031243100","Census Tract 2431, Cook County, Illinois","110385","23656",
"1400000US17031243200","Census Tract 2432, Cook County, Illinois","123942","15072",
"1400000US17031243300","Census Tract 2433, Cook County, Illinois","99038","15591",
"1400000US17031243400","Census Tract 2434, Cook County, Illinois","102625","33379",
"1400000US17031243500","Census Tract 2435, Cook County, Illinois","129028","21211",
"1400000US17031250200","Census Tract 2502, Cook County, Illinois","47411","30969",
"1400000US17031250300","Census Tract 2503, Cook County, Illinois","34141","8490",
"1400000US17031250400","Census Tract 2504, Cook County, Illinois","46261","6877",
"1400000US17031250500","Census Tract 2505, Cook County, Illinois","96920","12770",
"1400000US17031250600","Census Tract 2506, Cook County, Illinois","46184","15780",
"1400000US17031250700","Census Tract 2507, Cook County, Illinois","34941","9804",
"1400000US17031250800","Census Tract 2508, Cook County, Illinois","36250","15312",
"1400000US17031251000","Census Tract 2510, Cook County, Illinois","29671","15664",
"1400000US17031251100","Census Tract 2511, Cook County, Illinois","19938","4582",
"1400000US17031251200","Census Tract 2512, Cook County, Illinois","45610","9450",
"1400000US17031251300","Census Tract 2513, Cook County, Illinois","31663","3781",
"1400000US17031251400","Census Tract 2514, Cook County, Illinois","33625","5788",
"1400000US17031251500","Census Tract 2515, Cook County, Illinois","23933","12323",
"1400000US17031251600","Census Tract 2516, Cook County, Illinois","30000","8752",
"1400000US17031251700","Census Tract 2517, Cook County, Illinois","52857","13230",
"1400000US17031251800","Census Tract 2518, Cook County, Illinois","24632","6832",
"1400000US17031251900","Census Tract 2519, Cook County, Illinois","21106","2667",
"1400000US17031252000","Census Tract 2520, Cook County, Illinois","19921","5052",
"1400000US17031252101","Census Tract 2521.01, Cook County, Illinois","17000","4060",
"1400000US17031252102","Census Tract 2521.02, Cook County, Illinois","38500","14452",
"1400000US17031252201","Census Tract 2522.01, Cook County, Illinois","32831","5684",
"1400000US17031252202","Census Tract 2522.02, Cook County, Illinois","28105","4524",
"1400000US17031260100","Census Tract 2601, Cook County, Illinois","14505","3238",
"1400000US17031260200","Census Tract 2602, Cook County, Illinois","35192","10182",
"1400000US17031260300","Census Tract 2603, Cook County, Illinois","23289","12990",
"1400000US17031260400","Census Tract 2604, Cook County, Illinois","18750","10084",
"1400000US17031260500","Census Tract 2605, Cook County, Illinois","33026","13718",
"1400000US17031260600","Census Tract 2606, Cook County, Illinois","27273","7138",
"1400000US17031260700","Census Tract 2607, Cook County, Illinois","22222","9329",
"1400000US17031260800","Census Tract 2608, Cook County, Illinois","21613","5535",
